Index,Xg,Yg,Zg
A0,0,0,-304.7218
B1,6.1935,8.525,-304.4318
C1,10.0227,-3.256,-304.4747
D1,0,-10.538,-304.4868
E1,-10.0214,-3.256,-304.4337
A1,-6.1944,8.526,-304.4724
A3,0,17.051,-304.0965
B2,12.3801,17.04,-303.896
B3,16.2182,5.27,-304.1303
C2,20.0288,-6.507,-303.8579
C3,10.0235,-13.796,-304.132
D2,0,-21.058,-303.8455
D3,-10.0234,-13.796,-304.1294
E2,-20.0288,-6.507,-303.8574
E3,-16.217,5.269,-304.1076
A2,-12.3791,17.039,-303.8715
A5,-6.1942,25.592,-303.5037
A6,6.1939,25.591,-303.4892
B4,18.5526,25.536,-303.002
B5,22.4302,13.803,-303.5704
B6,26.2561,2.018,-303.5342
C4,30.0162,-9.752,-302.9761
C5,20.0557,-17.065,-303.5337
C6,10.0315,-24.345,-303.505
D4,0,-31.562,-302.9954
D5,-10.0324,-24.347,-303.5345
D6,-20.0581,-17.067,-303.5703
E4,-30.0144,-9.752,-302.9581
E5,-26.2518,2.018,-303.4846
E6,-22.4252,13.8,-303.5028
A4,-18.5518,25.535,-302.9881
A8,-12.3631,34.089,-302.5193
A9,0,34.109,-302.6971
A10,12.3597,34.08,-302.4363
B7,24.705,34.004,-301.7623
B8,28.5918,22.286,-302.4326
B9,32.4383,10.54,-302.6863
B10,36.2433,-1.223,-302.5404
C7,39.9719,-12.987,-301.7501
C8,30.0385,-20.311,-302.516
C9,20.0485,-27.594,-302.6948
C10,10.0319,-34.834,-302.4282
D7,0,-42.033,-301.7832
D8,-10.0319,-34.834,-302.4275
D9,-20.0484,-27.594,-302.6932
D10,-30.0391,-20.312,-302.5216
E7,-39.9718,-12.987,-301.7497
E8,-36.2339,-1.223,-302.4619
E9,-32.4465,10.543,-302.7628
E10,-28.5945,22.288,-302.4609
A7,-24.7037,34.002,-301.7466
A12,-18.5517,42.644,-301.0493
A13,-6.1956,42.712,-301.627
A14,6.1934,42.696,-301.5179
A15,18.5515,42.644,-301.0458
B11,30.8141,42.413,-300.0143
B12,34.8214,30.82,-301.0265
B13,38.7033,19.09,-301.6032
B14,42.5252,7.305,-301.554
B15,46.2913,-4.466,-301.0604
C11,49.8678,-16.203,-300.0718
C12,40.0663,-23.59,-300.9901
C13,30.1101,-30.905,-301.5528
C14,20.0893,-38.189,-301.5758
C15,10.0559,-45.399,-301.0214
D11,0,-52.432,-300.0608
D12,-10.0563,-45.401,-301.0329
D13,-20.0894,-38.189,-301.5775
D14,-30.1099,-30.905,-301.5516
D15,-40.0742,-23.595,-301.0498
E11,-49.8682,-16.203,-300.0744
E12,-46.2899,-4.466,-301.0509
E13,-42.5331,7.306,-301.6106
E14,-38.6943,19.086,-301.5331
E15,-34.825,30.823,-301.0576
A11,-30.8179,42.418,-300.0512
A17,-24.6582,51.05,-299.2533
